class,order,family,vernacularName,taxonKey,verbatimScientificName,iucnRedListCategory,image,wikipedia_url
Aves,Procellariiformes,Procellariidae,Pardela Gorjiblanca,2481495,Procellaria aequinoctialis,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/93091647/original.jpeg,https://es.wikipedia.org/wiki/Procellaria_aequinoctialis
Mammalia,Lagomorpha,Leporidae,Conejo Tropical,2436860,Sylvilagus brasiliensis,EN,https://inaturalist-open-data.s3.amazonaws.com/photos/60540811/original.jpeg,https://es.wikipedia.org/wiki/Sylvilagus_brasiliensis
Aves,Passeriformes,Thraupidae,Gobernador Crestado,2491899,Gubernatrix cristata,EN,https://inaturalist-open-data.s3.amazonaws.com/photos/90432121/original.jpeg,https://es.wikipedia.org/wiki/Gubernatrix_cristata
Aves,Piciformes,Picidae,Carpintero Cejigualdo,5228880,Piculus aurulentus,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/12204993/original.jpg,https://es.wikipedia.org/wiki/Piculus_aurulentus
Aves,Galliformes,Cracidae,Pavón Muitú,2482174,Crax fasciolata,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/9859277/original.jpg,https://es.wikipedia.org/wiki/Crax_fasciolata
Aves,Passeriformes,Thraupidae,Semillero Castaño,2491320,Sporophila cinnamomea,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/104021734/original.jpg,https://es.wikipedia.org/wiki/Sporophila_cinnamomea
Aves,Passeriformes,Thraupidae,Semillero Picudo,2491326,Sporophila falcirostris,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/89726/original.jpg,https://es.wikipedia.org/wiki/Sporophila_falcirostris
Aves,Passeriformes,Tyrannidae,Orejerito Cejudo,5789120,Pogonotriccus eximius,NT,https://static.inaturalist.org/photos/188380945/original.jpg,https://es.wikipedia.org/wiki/Pogonotriccus_eximius
Aves,Passeriformes,Tyrannidae,Tachurí Coludo,2482675,Culicivora caudacuta,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/9072748/original.jpg,https://es.wikipedia.org/wiki/Culicivora_caudacuta
Aves,Passeriformes,Tyrannidae,Orejerito Ojirrojo,2483204,Phylloscartes sylviolus,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/27513576/original.jpeg,https://es.wikipedia.org/wiki/Phylloscartes_sylviolus
Aves,Accipitriformes,Accipitridae,Arpía Mayor,2480516,Harpia harpyja,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/228278189/original.jpeg,https://es.wikipedia.org/wiki/Harpia_harpyja
Aves,Charadriiformes,Charadriidae,Chorlitejo Cordillerano,2480214,Phegornis mitchellii,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/70698695/original.jpg,https://es.wikipedia.org/wiki/Phegornis_mitchellii
Aves,Sphenisciformes,Spheniscidae,Pingüino De Las Snares,2481644,Eudyptes robustus,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/4380303/original.jpeg,https://es.wikipedia.org/wiki/Eudyptes_robustus
Arachnida,Araneae,Theraphosidae,Tarántula Argentina,2153726,Grammostola vachoni,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/244505517/original.jpeg,https://es.wikipedia.org/wiki/Grammostola
Aves,Accipitriformes,Accipitridae,Black-And-Chestnut Eagle,5788512,Spizaetus isidori,EN,https://static.inaturalist.org/photos/152723013/original.jpeg,https://es.wikipedia.org/wiki/Spizaetus_isidori
Mammalia,Carnivora,Felidae,Gato Pintado,2434950,Leopardus wiedii,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/18695507/original.jpg,https://es.wikipedia.org/wiki/Leopardus_wiedii
Mammalia,Carnivora,Felidae,Gato Tigre,2434930,Leopardus tigrinus,VU,https://static.inaturalist.org/photos/259960478/original.jpg,https://es.wikipedia.org/wiki/Leopardus_tigrinus
Mammalia,Artiodactyla,Tayassuidae,Cafuche,2440993,Tayassu pecari,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/321251332/original.jpg,https://es.wikipedia.org/wiki/Tayassu_pecari
Mammalia,Pilosa,Myrmecophagidae,Ant Bear,2436346,Myrmecophaga tridactyla,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/108811809/original.jpg,https://es.wikipedia.org/wiki/Myrmecophaga_tridactyla
Mammalia,Carnivora,Felidae,Anítina,5219426,Panthera onca,NT,https://static.inaturalist.org/photos/51015966/original.jpg,https://es.wikipedia.org/wiki/Panthera_onca
Mammalia,Artiodactyla,Cervidae,Corzuela Enana,5220124,Mazama nana,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/105716690/original.jpeg,https://es.wikipedia.org/wiki/Mazama_nana
Mammalia,Carnivora,Canidae,Bush Dog,2434444,Speothos venaticus,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/197012881/original.jpg,https://es.wikipedia.org/wiki/Speothos_venaticus
Mammalia,Cingulata,Dasypodidae,Mulita,2440778,Dasypus hybridus,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/32909142/original.jpg,https://es.wikipedia.org/wiki/Dasypus_hybridus
Mammalia,Lagomorpha,Leporidae,Conejo,2436940,Oryctolagus cuniculus,EN,https://inaturalist-open-data.s3.amazonaws.com/photos/411686740/original.jpg,https://es.wikipedia.org/wiki/Oryctolagus_cuniculus
Aves,Passeriformes,Parulidae,"Reinita Estriada, Reinita Rayada",6092935,Setophaga striata,NT,https://static.inaturalist.org/photos/40556924/original.jpg,https://es.wikipedia.org/wiki/Setophaga_striata
Aves,Accipitriformes,Accipitridae,Busardo Patagón,2480565,Buteo ventralis,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/222644904/original.jpeg,https://es.wikipedia.org/wiki/Buteo_ventralis
Mammalia,Cingulata,Dasypodidae,Piche,2440795,Zaedyus pichiy,NT,https://static.inaturalist.org/photos/61595076/original.jpeg,https://es.wikipedia.org/wiki/Zaedyus_pichiy
Mammalia,Carnivora,Felidae,Oncilla,7740958,Leopardus guttulus,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/184386859/original.jpeg,https://es.wikipedia.org/wiki/Leopardus_guttulus
Aves,Psittaciformes,Psittacidae,Amazona Vinosa,2479617,Amazona vinacea,EN,https://static.inaturalist.org/photos/32064638/original.jpg,https://es.wikipedia.org/wiki/Amazona_vinacea
Amphibia,Anura,Ceratophryidae,Escuerzo,2424454,Ceratophrys ornata,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/106327834/original.jpeg,https://es.wikipedia.org/wiki/Ceratophrys_ornata
Mammalia,Artiodactyla,Cervidae,Ciervo Enano,2440911,Pudu puda,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/263624688/original.jpg,https://es.wikipedia.org/wiki/Pudu_puda
Elasmobranchii,Rajiformes,Arhynchobatidae,Raya Marrón Oscuro,2419972,Sympterygia acuta,CR,https://static.inaturalist.org/photos/74270931/original.jpg,https://es.wikipedia.org/wiki/Sympterygia_acuta
Mammalia,Artiodactyla,Cervidae,Chilean Guemal,2440981,Hippocamelus bisulcus,EN,https://inaturalist-open-data.s3.amazonaws.com/photos/43679861/original.jpg,https://es.wikipedia.org/wiki/Hippocamelus_bisulcus
Mammalia,Primates,Cebidae,Capuchino De Azara,7906704,Sapajus cay,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/175076557/original.jpg,https://es.wikipedia.org/wiki/Sapajus_cay
Holocephali,Chimaeriformes,Callorhinchidae,Achagual,2417405,Callorhinchus callorynchus,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/260551576/original.jpeg,https://es.wikipedia.org/wiki/Callorhinchus_callorynchus
Aves,Accipitriformes,Accipitridae,Águila Solitaria,7836955,Buteogallus solitarius,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/104057724/original.jpeg,https://es.wikipedia.org/wiki/Buteogallus_solitarius
Elasmobranchii,Rajiformes,Arhynchobatidae,Raya Lisa,2420091,Rioraja agassizii,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/366272634/original.jpg,https://es.wikipedia.org/wiki/Rioraja_agassizii
Insecta,Odonata,Coenagrionidae,Libelula del delta,1423514,Andinagrion saliceti,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/44381033/original.jpg,https://sib.gob.ar/especies/andinagrion-saliceti?tab=fuentes
Aves,Gruiformes,Rallidae,Rascón Pidén,2474796,Rallus antarcticus,VU,https://static.inaturalist.org/photos/236042063/original.jpeg,https://es.wikipedia.org/wiki/Rallus_antarcticus
Mammalia,Cetacea,Balaenopteridae,Ballena Minke Antártica,7759914,Balaenoptera bonaerensis,NT,https://static.inaturalist.org/photos/221755875/original.jpg,https://es.wikipedia.org/wiki/Balaenoptera_bonaerensis
Amphibia,Anura,Leptodactylidae,Achala’S Four-Eyed Frog,2423459,Pleurodema kriegi,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/244531491/original.jpeg,https://es.wikipedia.org/wiki/Pleurodema_kriegi
Mammalia,Artiodactyla,Cervidae,Ciervo Andino Septentrional,2440980,Hippocamelus antisensis,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/31372921/original.jpg,https://es.wikipedia.org/wiki/Hippocamelus_antisensis
Aves,Charadriiformes,Haematopodidae,Eurasian Oystercatcher,7788295,Haematopus ostralegus,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/1940433/original.jpg,https://es.wikipedia.org/wiki/Haematopus_ostralegus
Elasmobranchii,Carcharhiniformes,Triakidae,Aceitero,2418259,Galeorhinus galeus,CR,https://inaturalist-open-data.s3.amazonaws.com/photos/84400443/original.jpeg,https://es.wikipedia.org/wiki/Galeorhinus_galeus
Mammalia,Rodentia,Ctenomyidae,Colonial Tuco-Tuco,2439608,Ctenomys sociabilis,CR,https://www.inaturalist.org/attachment_defaults/local_photos/original.png,https://es.wikipedia.org/wiki/Ctenomys_sociabilis
Mammalia,Carnivora,Felidae,Kodkod,2434924,Oncifelis guigna,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/1131248/original.jpeg,https://es.wikipedia.org/wiki/Oncifelis_guigna
Amphibia,Anura,Rhinodermatidae,Rana Narigona,5217388,Rhinoderma darwinii,EN,https://static.inaturalist.org/photos/57901672/original.jpeg,https://es.wikipedia.org/wiki/Rhinoderma_darwinii
Mammalia,Paucituberculata,Caenolestidae,Chilean  Shrew  Opossum,2433370,Rhyncholestes raphanurus,NT,https://static.inaturalist.org/photos/238369295/original.jpeg,https://es.wikipedia.org/wiki/Rhyncholestes_raphanurus
Amphibia,Anura,Bufonidae,Sapo De Puntos Rojos,5216945,Rhinella rubropunctata,VU,https://static.inaturalist.org/photos/169363948/original.jpeg,https://es.wikipedia.org/wiki/Rhinella_rubropunctata
Mammalia,Carnivora,Mustelidae,Huillín,2433736,Lontra provocax,EN,https://inaturalist-open-data.s3.amazonaws.com/photos/11993570/original.jpg,https://es.wikipedia.org/wiki/Lontra_provocax
Amphibia,Anura,Batrachylidae,Patagonia Frog,2424538,Atelognathus patagonicus,CR,https://inaturalist-open-data.s3.amazonaws.com/photos/210970857/original.jpg,https://es.wikipedia.org/wiki/Atelognathus_patagonicus
Amphibia,Anura,Alsodidae,Olive Spiny-Chest Frog,2424426,Alsodes verrucosus,EN,https://static.inaturalist.org/photos/8664630/original.jpg,https://es.wikipedia.org/wiki/Alsodes_verrucosus
Aves,Pelecaniformes,Pelecanidae,Pelícano Peruano,5229157,Pelecanus thagus,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/16022/original.jpg,https://es.wikipedia.org/wiki/Pelecanus_thagus
Aves,Passeriformes,Hirundinidae,"Martín De Galápagos, Golondrina De Galápagos",2489138,Progne modesta,EN,https://inaturalist-open-data.s3.amazonaws.com/photos/15571159/original.jpg,https://es.wikipedia.org/wiki/Progne_modesta
Elasmobranchii,Squatiniformes,Squatinidae,Angelito,2417804,Squatina guggenheim,EN,https://inaturalist-open-data.s3.amazonaws.com/photos/165495401/original.jpg,https://es.wikipedia.org/wiki/Squatina_guggenheim
Aves,Anseriformes,Anatidae,Swan Goose,2498034,Anser cygnoides,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/204763232/original.jpg,https://es.wikipedia.org/wiki/Anser_cygnoides
Aves,Procellariiformes,Procellariidae,Pardela Sombría,8249990,Ardenna grisea,NT,https://static.inaturalist.org/photos/180460944/original.jpeg,https://es.wikipedia.org/wiki/Ardenna_grisea
Elasmobranchii,Myliobatiformes,Myliobatidae,Chucho Ñato,7453268,Myliobatis ridens,CR,https://static.inaturalist.org/photos/61470161/original.jpg,https://www.inidep.edu.ar/especies/23-chucho-toro.html
Mammalia,Cingulata,Dasypodidae,Corechi,2440792,Tolypeutes matacus,NT,https://static.inaturalist.org/photos/32614144/original.jpeg,https://es.wikipedia.org/wiki/Tolypeutes_matacus
Aves,Passeriformes,Fringillidae,Eufonia Bronceada,2487990,Euphonia chalybea,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/76824/original.jpg,https://es.wikipedia.org/wiki/Euphonia_chalybea
Aves,Apodiformes,Apodidae,Chimney Swift,4409023,Chaetura pelagica,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/143746829/original.jpg,https://es.wikipedia.org/wiki/Chaetura_pelagica
Aves,Charadriiformes,Scolopacidae,Correlimos Semipalmeado,2481764,Calidris pusilla,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/56449398/original.jpg,https://es.wikipedia.org/wiki/Calidris_pusilla
Aves,Caprimulgiformes,Caprimulgidae,Chotacabras Pantanero,5232073,Eleothreptus anomalus,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/16218518/original.jpg,https://es.wikipedia.org/wiki/Eleothreptus_anomalus
Mammalia,Cetacea,Pontoporiidae,Franciscana,5220001,Pontoporia blainvillei,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/98406172/original.jpeg,https://es.wikipedia.org/wiki/Pontoporia_blainvillei
Aves,Passeriformes,Furnariidae,Remolinera Negra,2485049,Cinclodes antarcticus,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/222679/original.jpg,https://es.wikipedia.org/wiki/Cinclodes_antarcticus
Aves,Passeriformes,Thraupidae,Semillero del Iberá,11041256,Sporophila digiacomoi,EN,https://inaturalist-open-data.s3.amazonaws.com/photos/91142426/original.jpg,https://es.wikipedia.org/wiki/Sporophila_digiacomoi
Aves,Gruiformes,Rallidae,Dot-Winged Crake,11018860,Laterallus spilonota,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/68508/original.jpg,https://es.wikipedia.org/wiki/Laterallus_spilonota
