class,order,family,vernacularName,taxonKey,verbatimScientificName,iucnRedListCategory,image,wikipedia_url
Elasmobranchii,Myliobatiformes,Myliobatidae,Chucho,2419318,Myliobatis goodei,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/43930146/original.png,https://es.wikipedia.org/wiki/Myliobatis_goodei
Elasmobranchii,Rajiformes,Arhynchobatidae,Raya Marmorada,2419968,Sympterygia bonapartii,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/99154177/original.jpg,https://es.wikipedia.org/wiki/Sympterygia_bonapartii
Amphibia,Anura,Bufonidae,Sapito De Devincenzi,2422147,Melanophryniscus devincenzii,EN,https://inaturalist-open-data.s3.amazonaws.com/photos/27418282/original.jpg,https://es.wikipedia.org/wiki/Melanophryniscus_devincenzii
Mammalia,Cetacea,Physeteridae,Cachalote Gigante,8123917,Physeter macrocephalus,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/28629750/original.jpg,https://es.wikipedia.org/wiki/Physeter_macrocephalus
Insecta,Lepidoptera,Papilionidae,Aceitosa del litoral,5141258,Euryades corethrus,NT,https://static.inaturalist.org/photos/38371332/original.jpg,https://en.wikipedia.org/wiki/Euryades_corethrus
Elasmobranchii,Carcharhiniformes,Carcharhinidae,Aquella,2417940,Prionace glauca,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/358688436/original.jpg,https://es.wikipedia.org/wiki/Prionace_glauca
Aves,Passeriformes,Thraupidae,Semillero Rojinegro,2491316,Sporophila nigrorufa,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/210214156/original.jpg,https://es.wikipedia.org/wiki/Sporophila_nigrorufa
Elasmobranchii,Lamniformes,Lamnidae,Cailon,5216239,Lamna nasus,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/261649646/original.jpg,https://es.wikipedia.org/wiki/Lamna_nasus
Mammalia,Rodentia,Octodontidae,Plains Viscacha Rat,2439645,Tympanoctomys barrerae,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/279472/original.jpg,https://es.wikipedia.org/wiki/Tympanoctomys_barrerae
Elasmobranchii,Carcharhiniformes,Triakidae,Gatuso,2418324,Mustelus schmitti,CR,https://inaturalist-open-data.s3.amazonaws.com/photos/345673181/original.jpg,https://es.wikipedia.org/wiki/Mustelus_schmitti
Elasmobranchii,Squaliformes,Squalidae,Tiburón espinoso,5216368,Squalus acanthias,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/7876104/original.jpeg,https://es.wikipedia.org/wiki/Squalus_acanthias
Aves,Falconiformes,Falconidae,Halcón Pechinaranja,2481021,Falco deiroleucus,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/12726004/original.jpg,https://es.wikipedia.org/wiki/Falco_deiroleucus
